YYMM,LOT,LOT7_prod,ACTUAL_LOT_prod,WAFER_ID_prod,LAYER_prod,WAFER_KEY_prod,INSPECTION_TIME_prod,DEFECT_ID_prod,CLASS_prod,FINEBIN_prod,WAFER_X_MM_prod,WAFER_Y_MM_prod,IMAGE_COUNT_prod,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,SUM_NCDD,STATUS,SRCIP,CCMR2,ICCR2,CV,GF,TS,PILOT_STATUS,BEEP_NCDD,SMP_NCDD,SIZE_X_prod,SIZE_Y_prod,SIZE_D_prod,AREA_prod,MANUAL_OPTICAL_CLASS_prod,INSPECT_TIME_DT,INSPECT_KEY_prod,_KEY,WAFER_KEY_db,INSPECTION_TIME_db,WAFER_ID_db,LOT7_db,ACTUAL_LOT_db,LAYER_db,DEFECT_ID_db,CLASS_db,FINEBIN_db,WAFER_X_MM_db,WAFER_Y_MM_db,IMAGE_COUNT_db,SIZE_X_db,SIZE_Y_db,SIZE_D_db,AREA_db,MANUAL_OPTICAL_CLASS_db,INSPECT_KEY_db,_merge,mismatch_type,LOT_GROUP,WAFER_GROUP,LAYER_GROUP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|362,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,362,DOME,DOME,86.719208,-102.265549,4,360,809,810,2581,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|363,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,363,DOME,DOME,83.032355,-102.173349,4,360,360,360,2829,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|367,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,367,NVD_FALSE,NVD_FALSE,28.364122,-104.539785,4,180,180,180,2132,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|368,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,368,DOME,DOME,80.673516,-104.439371,4,720,720,720,5562,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|369,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,369,DOME,DOME,80.166912,-104.632567,4,720,899,900,19867,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|372,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,372,DOME,DOME,79.921416,-105.969982,4,270,270,270,1992,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|374,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,374,DOME,DOME,79.766258,-106.452005,4,630,809,810,5271,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|375,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,375,DOME,DOME,-84.46586,-107.270828,4,449,720,720,3313,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|378,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,378,DOME,DOME,-84.916475,-107.963816,4,809,809,810,24789,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5311930J|GQ1KC483JKB3|8M6CL|2026-08-10 12:26:29|379,8833258,2026-08-10 12:26:29,GQ1KC483JKB3,D531193,D5311930J,8M6CL,379,UNCLASSIFIED,UNCLASSIFIED,-85.467397,-109.265352,0,630,720,720,5507,0,2026-08-10 12:26:29,right_only,missing_in_production,,GQ1KC483JKB3,8M6CL
