YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,Column 14,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2603,D5409890,D540989,D5409890,GQ9FQ338JKG2,8M6CL,7433612,2026/03/01 10:21:38 PM,584,SMALL_PARTICLE,SMALL_PARTICLE,-95.793958,-96.905474,18567.15328,4,AME417_PM6,P_78_GABON_R1,2026/03/01 2:28:20 PM,2026/03/01 10:21:38 PM,BPD448,ICCR2+CV+GF,0.003553,BSL,0,0.003553,945,ICCR2,1
2602,D5463050,D546305,D5463050,GS4VR288JKC6,8M6CL,7627644,2026/02/16 6:24:41 PM,139,SMALL_PARTICLE,SMALL_PARTICLE,111.657582,-80.278555,18912.062011,4,AME403_PM2,P_78_GABON_R1,2026/02/16 4:58:07 PM,2026/02/16 6:24:41 PM,BPD444,ICCR2+CV,0.007105,BSL,0,0.007105,1279,ICCR2,1
2603,D5463080,D546308,D5463080,MCGRM477WAA1,8M6CL,7630681,2026/03/02 3:59:05 PM,48,SMALL_PARTICLE,SMALL_PARTICLE,70.427863,119.429087,19223.390708,4,AME417_PM2,P_78_GABON_R1,2026/03/02 1:59:12 PM,2026/03/02 3:59:05 PM,BPD442,ICCR2+CV+GF,0.010753,BSL,0,0.010753,920,ICCR2,1
2604,D6015610,D601561,D6015610,GT9FQ036JKB1,8M5CL,7889925,2026/04/02 9:26:56 PM,6168,SMALL_PARTICLE,SMALL_PARTICLE,-80.180561,111.067789,18764.976116,5,AME409_PM1,P_78_GABON_B10_R3,2026/04/02 7:16:29 PM,2026/04/02 9:26:56 PM,BPD458,ICCR2+CV+GF,0.003659,BSL,0,0.003659,282,ICCR2,1
2512,D5241410,D524141,D5241410,KHT1K346WFF2,8M6CL,6851132,2025/12/11 7:13:35 PM,597,SMALL_PARTICLE,SMALL_PARTICLE,34.386601,-131.539623,18485.110747,4,AME411_PM1,P_78_GABON_R1,2025/12/11 4:10:34 PM,2025/12/11 7:13:35 PM,BPD450,SRCIP,0.017918,BSL,0.003584,0.014334,2832,SRCIP,1
2602,D5435080,D543508,D5435080,A22VF003SLF7,8M5CL,7517885,2026/02/09 2:31:52 PM,5762,SMALL_PARTICLE,SMALL_PARTICLE,114.015827,77.86349,19062.331881,5,AME401_PM3,P_78_GABON_B10_R3,2026/02/09 12:04:37 PM,2026/02/09 2:31:52 PM,BPD444,ICCR2+CV+GF,0.003609,BSL,0,0.003609,1734,ICCR2,1
2604,D5485340U,D548534,D5485340U,KJ6GQ244WFC6,8M6CL,8370339,2026/04/03 6:20:29 AM,11700,SMALL_PARTICLE,SMALL_PARTICLE,32.014604,133.588132,18870.723881,4,AME403_PM3,P_78_GABON_R1,2026/04/03 5:11:54 AM,2026/04/03 6:20:29 AM,BPD436,ICCR2+CV,0.003553,BSL,0,0.003553,266,ICCR2,1
2512,D5241410,D524141,D5241410,KHT1K346WFF2,8M6CL,6851132,2025/12/11 7:13:35 PM,595,SMALL_PARTICLE,LOWCONF,39.64124,-131.209066,18787.246909,4,AME411_PM1,P_78_GABON_R1,2025/12/11 4:10:34 PM,2025/12/11 7:13:35 PM,BPD450,SRCIP,0.017918,BSL,0.003584,0.014334,2832,SRCIP,1
2603,D5322680,D532268,D5322680,A1YP9032SLG1,8M5CL,7148039,2026/03/11 1:31:48 AM,738,SMALL_PARTICLE,SMALL_PARTICLE,118.692517,-71.890751,19256.193671,5,AME403_PM2,P_78_GABON_B10_R3,2026/03/10 10:55:04 PM,2026/03/11 1:31:48 AM,BPD448,ICCR2+CV,0.007167,BSL,0,0.007167,749,ICCR2,1
2602,D5413270,D541327,D5413270,MCE1M574WAB6,8M5CL,7445331,2026/02/04 1:02:01 PM,2053,SMALL_PARTICLE,SMALL_PARTICLE,-103.324514,-99.913129,20658.58854,5,AME421_PM5,P_78_GABON_B10_R3,2026/02/04 7:43:06 AM,2026/02/04 1:02:01 PM,BPD446,ICCR2+CV,0.003659,BSL,0,0.003659,1832,ICCR2,1
